target,source
35,4
35,15
35,31
36,4
36,6
36,15
38,4
40,18
42,4
42,15
43,30
43,11
44,36
45,18
45,38
46,18
46,40
47,16
47,17
48,11
48,30
49,18
49,40
51,43
52,11
53,6
53,36
53,30
55,23
56,45
56,49
57,18
57,11
57,23
57,40
58,23
59,35
59,11
59,44
60,11
61,35
61,11
61,42
62,11
62,18
63,48
64,11
64,18
65,11
65,18
66,11
67,11
67,54
68,18
68,11
68,23
68,40
69,30
69,53
70,30
71,30
72,30
72,69
73,30
73,53
74,30
75,53
76,36
77,23
78,40
78,49
79,23
80,23
81,23
82,40
82,11
83,23
84,11
85,18
85,35
85,11
85,42
86,11
86,40
87,6
87,36
87,30
88,7
88,48
89,11
90,40
91,11
91,40
92,11
94,11
94,54
95,49
96,11
96,23
96,30
98,11
98,60
99,11
99,23
99,30
100,11
101,11
102,59
102,61
103,11
104,30
104,43
105,18
105,40
107,11
108,30
108,43
109,18
109,40
110,35
110,30
110,49
111,30
112,30
113,30
113,53
115,43
116,30
116,53
117,30
117,53
119,30
120,30
120,43
121,18
121,40
122,23
123,23
124,23
125,23
125,36
125,122
126,23
127,23
127,55
128,23
129,55
129,81
131,23
132,11
133,30
133,43
134,18
134,40
135,30
136,30
136,53
137,45
138,53
138,87
140,49
141,11
141,30
142,11
142,40
143,30
143,53
144,30
145,18
145,23
145,40
146,23
147,23
148,23
149,11
150,11
150,40
151,11
152,23
153,35
153,11
153,44
154,35
154,11
154,42
155,11
155,40
156,18
156,30
156,40
157,23
158,23
159,23
160,11
161,23
162,35
162,11
162,44
163,35
163,11
163,42
164,40
165,30
165,53
166,30
167,18
167,30
167,40
168,11
169,11
169,40
170,11
171,23
172,11
172,18
173,40
174,30
175,30
175,69
176,18
176,30
176,40
177,40
177,49
178,23
179,23
180,11
181,11
181,40
182,11
